Symbol,Company Name,Industry,Market Cap
ASND,Ascendis Pharma,Biotechnology,8463850558
ASNS,Actelis Networks,Communication Equipment,2930264
ASO,Academy Sports and Outdoors,Specialty Retail,4715814252
ASPI,ASP Isotopes,Chemicals,181436590
ASPN,Aspen Aerogels,Construction,1307896370
ASPS,Altisource Portfolio Solutions,Real Estate Services,45700228
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.","Airlines, Airports & Air Services",9736592354
ASRT,Assertio Holdings,Drug Manufacturers - Specialty & Generic,87804618
ASRV,AmeriServ Financial,Banks - Regional,42696777
ASST,Asset Entities,Internet Content & Information,7133554
ASTC,Astrotech,Aerospace & Defense,15060311
ASTE,Astec Industries,Farm & Heavy Construction Machinery,997752958
ASTH,Astrana Health,Medical Care Facilities,2020139030
ASTI,Ascent Solar Technologies,Solar,1280421
ASTL,Algoma Steel Group,Steel,896811870
ASTR,Astra Space,Aerospace & Defense,14307388
ASTS,AST SpaceMobile,Telecom Services,582909382
ASUR,Asure Software,Software - Application,189943944
ASX,ASE Technology Holding Co.,Semiconductors,23885538260
ASXC,Asensus Surgical,Medical Devices,77516010
ASYS,Amtech Systems,Semiconductors,76205670
ATAI,Atai Life Sciences,Biotechnology,396802140
ATAT,Atour Lifestyle Holdings,Travel Lodging,2404215732
ATCH,AtlasClear Holdings,Software - Infrastructure,16730155
ATEC,Alphatec Holdings,Medical Devices,1862716500
ATEK,Athena Technology Acquisition Corp. II,Shell Companies,134770037
ATEN,A10 Networks,Software - Infrastructure,997492067
ATER,Aterian,"Furnishings, Fixtures & Appliances",17338652
ATEX,Anterix,Telecom Services,603007944
ATGE,Adtalem Global Education,Education & Training Services,2011917054
ATGL,Alpha Technology Group,Software - Infrastructure,45940125
ATHA,Athira Pharma,Biotechnology,95816750
ATHE,Alterity Therapeutics,Biotechnology,17165826
ATHM,Autohome,Internet Content & Information,3264165164
ATI,ATI Inc.,Manufacturing - Metal Fabrication,6484885750
ATIF,ATIF Holdings,Financial - Capital Markets,9916274
ATIP,ATI Physical Therapy,Medical Care Facilities,23746036
ATKR,Atkore,Electrical Equipment & Parts,6901042227
ATLC,Atlanticus Holdings,Credit Services,420281384
ATLO,Ames National,Banks - Regional,176875984
ATLX,Atlas Lithium,Other Precious Metals,241600832
ATMC,AlphaTime Acquisition,Shell Companies,75160913
ATMU,Atmus Filtration Technologies,Industrial - Pollution & Treatment Controls,2770031233
ATMV,AlphaVest Acquisition,Shell Companies,76751532
ATNF,180 Life Sciences,Biotechnology,1927262
ATNI,ATN International,Telecom Services,454008960
ATNM,Actinium Pharmaceuticals,Biotechnology,259864176
ATO,Atmos Energy,Regulated Gas,17643754800
ATOM,Atomera,Semiconductors,172131200
ATOS,Atossa Therapeutics,Biotechnology,253740600
ATPC,Agape ATP,Packaged Foods,24055824
ATR,AptarGroup,Medical Instruments & Supplies,9300376344
ATRA,Atara Biotherapeutics,Biotechnology,85938480
ATRC,AtriCure,Medical Instruments & Supplies,1260130240
ATRI,Atrion,Medical Instruments & Supplies,713325335
ATRO,Astronics,Aerospace & Defense,619444220
ATS,ATS Corporation,Industrial - Machinery,3319084725
ATSG,Air Transport Services Group,"Airlines, Airports & Air Services",861746528
ATUS,Altice USA,Telecommunications Services,1185905128
ATXG,Addentax Group,Integrated Freight & Logistics,3908002
ATXI,Avenue Therapeutics,Biotechnology,6594844
ATXS,Astria Therapeutics,Biotechnology,664327510
AU,AngloGold Ashanti,Gold,9736710560
AUB,Atlantic Union Bankshares,Banks - Regional,2956021613
